name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Davis HS,PSO,2014,8,3,3,84.283,32.533,34.483,17.267,0.0,84.9,33.2,34.0,17.7,0.0,87.65,34.4,36.15,17.1,0.0,-1.75,-0.2,-1.45,-0.1,0.0,85.775,33.3,34.725,17.75,0.0
Davis HS,PSO,2014,9,1,4,85.125,33.0,34.9,17.225,0.0,87.65,34.4,36.15,17.1,0.0,91.25,34.8,37.75,18.7,0.0,2.75,1.2,2.15,-0.6,0.0,86.275,33.8,35.075,17.4,0.0
E.D. White Catholic H.S.,PSO,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7,28.8,31.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E.D. White Catholic H.S.,PSO,2014,2,2,1,73.7,28.8,31.6,13.3,0.0,73.7,28.8,31.6,13.3,0.0,78.75,30.8,31.55,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E.D. White Catholic H.S.,PSO,2014,5,3,2,76.225,29.8,31.575,14.85,0.0,78.75,30.8,31.55,16.4,0.0,85.15,34.8,33.15,17.2,0.0,5.05,2.0,-0.05,3.1,0.0,76.225,29.8,31.575,14.85,0.0
E.D. White Catholic H.S.,PSO,2014,8,3,3,79.2,31.467,32.1,15.633,0.0,85.15,34.8,33.15,17.2,0.0,88.95,36.0,34.95,18.0,0.0,6.4,4.0,1.6,0.8,0.0,81.95,32.8,32.35,16.8,0.0
Eagan High School,PSO,2014,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,29.2,25.1,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagan High School,PSO,2014,4,1,1,69.9,29.2,25.1,15.6,0.0,69.9,29.2,25.1,15.6,0.0,79.2,32.4,31.3,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagan High School,PSO,2014,5,1,2,74.55,30.8,28.2,15.55,0.0,79.2,32.4,31.3,15.5,0.0,77.7,31.4,29.9,16.4,0.0,9.3,3.2,6.2,-0.1,0.0,74.55,30.8,28.2,15.55,0.0
Eagan High School,PSO,2014,6,1,3,75.6,31.0,28.767,15.833,0.0,77.7,31.4,29.9,16.4,0.0,81.5,31.2,33.9,16.4,0.0,-1.5,-1.0,-1.4,0.9,0.0,78.45,31.9,30.6,15.95,0.0
El Dorado HS,PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2,30.0,31.5,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado HS,PSO,2014,4,3,1,76.2,30.0,31.5,14.7,0.0,76.2,30.0,31.5,14.7,0.0,81.25,33.3,33.15,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado HS,PSO,2014,5,1,2,78.725,31.65,32.325,14.75,0.0,81.25,33.3,33.15,14.8,0.0,74.8,30.4,29.9,14.5,0.0,5.05,3.3,1.65,0.1,0.0,78.725,31.65,32.325,14.75,0.0
