name,class,year,shows,first week,final week,first score,final score,avg overall increase,avg me increase,avg ve increase,avg m increase,avg v increase
Chino Hills HS,PSW,2025,3,1,8,87.275,95.8,3.012,1.088,0.525,1.025,0.375
Clover HS,PSW,2025,2,2,5,78.9,91.1,6.1,1.35,1.825,1.475,1.45
Pearland HS,PSW,2025,2,2,5,80.5,86.8,3.15,0.45,0.75,1.25,0.7
Basha HS,PSO,2025,3,1,8,81.25,90.464,0.825,-0.225,-0.05,0.9,0.2
Brandon Valley HS,PSO,2025,3,3,8,80.75,84.951,1.625,-0.075,0.35,1.0,0.35
Dublin HS,PSO,2025,2,4,5,82.15,85.988,1.919,0.656,0.35,0.55,0.363
Glenn HS,PSO,2025,2,2,5,84.7,88.1,1.7,-0.225,1.0,0.3,0.625
Great Oak HS,PSO,2025,3,1,8,79.25,92.7,4.644,0.731,0.975,1.463,1.475
John Marshall HS,PSO,2025,3,2,8,69.85,78.4,4.3,2.1,1.05,0.1,1.05
Keller Central HS,PSO,2025,2,2,5,75.5,82.1,3.3,0.6,1.2,-0.05,1.55
Los Alamitos HS,PSO,2025,2,1,5,75.25,83.1,3.925,0.225,1.075,1.95,0.675
Pflugerville HS,PSO,2025,2,2,5,73.901,76.0,1.05,-0.3,0.5,0.7,0.15
Trumbull HS,PSO,2025,3,3,8,81.6,84.95,0.326,-0.375,0.6,0.15,-0.05
Victor J. Andrew HS,PSO,2025,3,0,8,76.55,96.763,4.575,1.725,0.775,0.775,1.3
Williams Field HS,PSO,2025,2,2,5,80.25,84.189,1.969,0.768,0.575,0.4,0.225
Bryant HS,PSA,2025,2,2,3,77.35,84.05,3.35,0.9,0.9,0.85,0.7
Campo Verde HS,PSA,2025,2,2,5,77.85,87.075,4.613,0.787,0.675,1.775,1.375
Gilbert HS,PSA,2025,2,2,5,80.15,82.925,1.387,0.338,0.3,0.15,0.6
Higley HS,PSA,2025,2,2,5,73.501,77.913,2.206,0.506,0.275,0.875,0.55
Lincoln-Way Community Schools,PSA,2025,2,0,2,67.25,70.05,1.4,-0.375,0.575,1.05,0.15
Orange HS,PSA,2025,2,1,5,74.8,83.1,4.15,0.825,0.625,2.275,0.425
Rancho Alamitos HS,PSA,2025,2,1,5,73.4,80.276,3.438,0.338,0.612,1.887,0.6
Selma HS,PSA,2025,2,1,5,71.1,82.314,5.607,1.069,0.5,2.425,1.612
Warren Central HS (MS),PSA,2025,3,3,8,80.401,86.939,1.825,1.575,-0.35,0.6,0.0
Dark Sky Percussion,PIW,2025,3,1,8,80.451,85.925,2.45,0.675,0.175,1.625,-0.025
Flux Indoor Percussion,PIW,2025,2,2,5,81.85,83.451,0.8,0.3,0.5,0.05,-0.05
Instinct,PIW,2025,2,1,5,75.151,79.55,2.2,0.3,0.35,1.125,0.425
Meraki,PIW,2025,3,1,8,81.55,87.025,2.438,0.637,0.575,0.6,0.625
POW Percussion,PIW,2025,3,1,8,83.75,91.063,2.9,0.75,0.775,0.775,0.6
Pulse Percussion,PIW,2025,3,1,8,89.475,96.975,2.175,0.75,0.325,0.625,0.475
RCC,PIW,2025,3,1,8,89.75,99.163,2.225,0.6,0.325,0.825,0.475
Red Wave Indoor,PIW,2025,2,1,5,78.401,84.376,2.988,0.863,0.325,1.1,0.7
Resistance Indoor Percussion,PIW,2025,2,2,5,71.55,78.85,3.65,0.6,1.35,0.25,1.45
Rhythmic Force Percussion,PIW,2025,3,2,8,82.65,89.875,3.55,0.75,0.75,1.25,0.8
Thesis,PIW,2025,2,4,5,85.25,85.526,0.138,0.45,0.15,-0.05,-0.412
United Percussion,PIW,2025,3,3,8,87.85,93.414,2.325,0.9,0.675,0.2,0.55
Crystal Lake Thunder,PIO,2025,3,0,8,70.85,77.275,1.55,0.9,0.05,0.3,0.3
Elan Percussion,PIO,2025,2,1,5,79.15,83.626,2.238,0.488,0.325,0.775,0.65
Pi Percussion Inc.,PIO,2025,3,0,8,75.4,82.388,1.75,0.3,0.6,0.8,0.05
United Percussion 2,PIO,2025,3,3,8,80.95,91.563,4.0,1.35,1.15,0.6,0.9
Vision Percussion,PIO,2025,3,2,8,79.75,85.288,2.675,0.825,0.825,0.95,0.075
Cornerstone Percussion,PIA,2025,2,1,5,74.65,79.85,2.6,0.6,0.225,1.1,0.675
Horizon Percussion,PIA,2025,2,3,5,78.05,82.7,2.325,1.575,-0.25,1.15,-0.15
Casa Grande HS,PSO,2026,2,1,2,77.55,80.325,1.388,0.637,-0.075,0.825,0.0
Victor HS,PSO,2026,2,0,2,69.8,76.625,3.413,1.537,1.175,0.5,0.2
Westhill HS,PSA,2026,2,0,3,82.8,84.575,0.888,0.338,0.0,-0.1,0.65
EPIC Indoor Percussion,PIO,2026,2,0,3,69.9,75.3,2.7,0.75,0.95,0.3,0.7
